# Rufana client pack, снят 2026-08-14 с «Fabric 1.21.11»
# модов: 72 (+instantlore своим каналом)
# file	modid	version	sha512	url
[optional] CustomPlayerModels-Fabric-1.21.11-0.6.27a.jar	cpm	0.6.27a	94ae4187f0b700d8407d32374208ccc53ee0b5e06151a048eca2ed10e7dcb2b9536d6b5b8ae988121972c78d8030e8343f42dfa234d6387a4e49a48afa84bd0e	https://cdn.modrinth.com/data/h1E7sQNL/versions/uHdKq7aj/CustomPlayerModels-Fabric-1.21.11-0.6.27a.jar
[optional] emotecraft-fabric-for-MC1.21.11-3.2.0-b.build.159.jar	emotecraft	3.2.0-b.build.159	d403a5049ab159e989bcced2727ba6fec498c982d2dc43e0b72e2660cdf35192f393f079869446a117f2aff3ddbbe22169657b5dc90b48fc8658517f0bfe3f42	https://cdn.modrinth.com/data/pZ2wrerK/versions/11btIGaG/emotecraft-fabric-for-MC1.21.11-3.2.0-b.build.159.jar
[optional] fancytoasts-fabric-1.21.11-1.4.6.jar	fancytoasts	1.4.6	47140cefe0d0661d2331df095c894eff27aab62a2c094cfed61917013085db0234e9217e4766b8a335cd686a64e5fd101d9d797063de091dbe9ea9fd9cdbfe19	https://cdn.modrinth.com/data/eUziWqPC/versions/YDkjrU9p/fancytoasts-fabric-1.21.11-1.4.6.jar
[optional] PlayerAnimationLibFabric-1.1.8+mc.1.21.11.jar	player_animation_library	1.1.8+mc.1.21.11	564cc2e86fda4c8113df55020f58b7599cf8ccbca99c9a3c02285a8412096f30550027f8f0d5fb6c1a9767b51d90c37fc7568f7cbde1bb981ff2c693f15b4e1d	https://cdn.modrinth.com/data/ha1mEyJS/versions/uL8CC7Hc/PlayerAnimationLibFabric-1.1.8%2Bmc.1.21.11.jar
animatica-0.6.1+1.21.5.jar	animatica	0.6.1+1.21.5	2e4de7ac455996d3fc79cec1645018f698b9bd184db3e990cb774ae9eaf0208f75605cae09f93ead9aa22fbe324c07b73348468af29b97757c205f99e91bc7d0	https://cdn.modrinth.com/data/PRN43VSY/versions/CVlwSVpU/animatica-0.6.1%2B1.21.5.jar
architectury-19.0.1-fabric.jar	architectury	19.0.1	7ca532844a0ed3d35e8515e13d1e84f8eadfceaae93281b79ad6b4dac253f4634e3dfcc7592f9543871dec117e1a3092c196ba5eae33735162de223be19dc4ad	https://cdn.modrinth.com/data/lhGA9TYQ/versions/uNdfrcQ8/architectury-19.0.1-fabric.jar
audioplayer-fabric-2.3.0+1.21.11(1).jar	audioplayer	2.3.0+1.21.11	461ab83e854b9b375b2da7fdf901a2256b364816f0d778b8fb30beb611d625eb47b7bb712829080ca9844dab9030c8a6599f0e17589472465fad974121e45ef9	https://cdn.modrinth.com/data/SRlzjEBS/versions/42vONW2u/audioplayer-fabric-2.3.0%2B1.21.11.jar
balm-fabric-1.21.11-21.11.8.jar	balm	21.11.8	3d9af084e684e18152ea557cb8da92165f05d9ca7b9ee1c87db46a271681b7a1c0f23eab116cabe2734f1f445a75945168978d588f16ca785efe34e74216d826	https://cdn.modrinth.com/data/MBAkmtvl/versions/IYfoTfMp/balm-fabric-1.21.11-21.11.8.jar
bbe-fabric-1.3.4+mc1.21.11.jar	betterblockentities	1.3.4+mc1.21.11	1c8a513af8d9694cf9c41765cb8359aa3680ba9a1b8806d99c472ae325597db2c493a0389e602e3cf07b33c938b35012192504d5775c9cd3f308ab8c16376280	https://cdn.modrinth.com/data/ONZm0H7Y/versions/VTUyYQyY/bbe-fabric-1.3.4%2Bmc1.21.11.jar
BetterGrassify-1.8.6+fabric.1.21.11.jar	bettergrass	1.8.6+fabric.1.21.11	8e4c117b8a8a1fe601d939777cdf20bcede227440183d2a312b019965d4680b3548879a4fab683ad8f29cc89de3332fcce7a916c9284575d7eb7dfdfe5d34c93	https://cdn.modrinth.com/data/m5T5xmUy/versions/AMcZloev/BetterGrassify-1.8.6%2Bfabric.1.21.11.jar
